GAME_NUMBER,SEASON,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,Player_ID,Game_ID
11,2020-21,"APR 28, 2021",0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
12,2020-21,"APR 26, 2021",0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
13,2020-21,"APR 25, 2021",0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
14,2020-21,"APR 23, 2021",0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
15,2020-21,"APR 21, 2021",WAS vs. GSW,W,14,2,5,0.4,0,0,0.0,2,2,1.0,1,2,3,0,1,0,1,0,6,9,1,0022000885,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,13:50,96.8,97.2,73.2,72.2,23.6,25.0,0.0,0.0,0.0,0.063,0.133,0.097,14.3,0.4,0.51,0.163,0.166,124.32,124.87,104.06,36.0,0.117,22020,1630166.0,0022000885
16,2020-21,"APR 19, 2021",WAS vs. OKC,W,26,3,11,0.273,0,6,0.0,0,1,0.0,1,5,6,0,0,0,0,2,6,5,1,0022000872,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,26:11,101.8,103.4,92.3,93.2,9.5,10.2,0.0,0.0,0.0,0.032,0.172,0.1,0.0,0.273,0.262,0.167,0.172,108.67,107.24,89.36,58.0,0.005,22020,1630166.0,0022000872
17,2020-21,"APR 17, 2021",WAS vs. DET,W,24,1,1,1.0,1,1,1.0,0,0,0.0,0,5,5,2,2,1,1,1,3,20,1,0022000856,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,23:34,126.4,129.6,92.3,92.6,34.0,37.0,0.071,2.0,50.0,0.0,0.167,0.104,25.0,1.5,1.5,0.035,0.035,111.57,109.99,91.65,54.0,0.093,22020,1630166.0,0022000856
18,2020-21,"APR 16, 2021",WAS vs. NOP,W,20,0,2,0.0,0,2,0.0,0,0,0.0,0,4,4,2,1,1,0,3,0,2,1,0022000847,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,20:10,87.6,95.5,88.1,90.9,-0.5,4.5,0.118,0.0,50.0,0.0,0.19,0.087,0.0,0.0,0.0,0.041,0.04,111.11,104.73,87.27,44.0,0.036,22020,1630166.0,0022000847
19,2020-21,"APR 14, 2021",WAS @ SAC,W,31,5,7,0.714,1,2,0.5,0,0,0.0,0,4,4,0,1,1,0,2,11,-6,1,0022000839,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,31:07,107.3,107.1,111.3,112.5,-4.0,-5.4,0.0,0.0,0.0,0.0,0.125,0.069,0.0,0.786,0.786,0.089,0.09,110.08,109.52,91.27,70.0,0.089,22020,1630166.0,0022000839
20,2020-21,"APR 12, 2021",WAS @ UTA,W,10,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,1,0,4,0,-5,1,0022000820,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,9:51,115.2,100.0,128.7,116.7,-13.4,-16.7,0.0,0.0,0.0,0.0,0.222,0.095,0.0,0.0,0.0,0.0,0.0,101.64,114.5,95.42,23.0,-0.032,22020,1630166.0,0022000820
21,2020-21,"APR 10, 2021",WAS @ PHX,L,31,2,6,0.333,2,4,0.5,3,4,0.75,0,6,6,2,0,0,1,4,9,-19,1,0022000803,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,31:17,96.4,94.3,117.7,121.4,-21.4,-27.1,0.095,2.0,18.2,0.0,0.171,0.097,9.1,0.5,0.58,0.123,0.126,107.93,107.41,89.5,70.0,0.046,22020,1630166.0,0022000803
22,2020-21,"APR 09, 2021",WAS @ GSW,W,21,0,6,0.0,0,3,0.0,2,4,0.5,1,3,4,3,2,0,0,1,2,-13,1,0022000798,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,21:24,95.6,95.9,122.5,120.0,-26.9,-24.1,0.167,0.0,27.3,0.037,0.167,0.089,0.0,0.0,0.129,0.143,0.148,110.08,111.06,92.55,49.0,0.014,22020,1630166.0,0022000798
23,2020-21,"APR 07, 2021",WAS @ ORL,W,30,6,10,0.6,4,7,0.571,0,0,0.0,0,5,5,2,0,0,0,2,16,19,1,0022000777,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,29:31,134.5,134.4,99.9,105.0,34.6,29.4,0.08,0.0,16.7,0.0,0.161,0.088,0.0,0.8,0.8,0.149,0.152,100.82,98.39,81.99,61.0,0.117,22020,1630166.0,0022000777
24,2020-21,"APR 05, 2021",WAS @ TOR,L,40,4,10,0.4,2,6,0.333,2,2,1.0,2,8,10,1,0,1,0,1,12,8,1,0022000763,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,39:39,104.1,106.0,93.6,95.3,10.5,10.7,0.036,0.0,8.3,0.043,0.178,0.109,0.0,0.5,0.551,0.11,0.112,104.11,102.3,85.25,84.0,0.102,22020,1630166.0,0022000763
25,2020-21,"APR 03, 2021",WAS vs. DAL,L,39,4,11,0.364,0,4,0.0,1,1,1.0,1,7,8,1,0,0,0,3,9,-19,1,0022000747,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,39:22,90.5,92.3,118.5,116.7,-28.0,-24.4,0.04,0.0,8.3,0.023,0.171,0.094,0.0,0.364,0.393,0.122,0.126,95.37,95.12,79.27,78.0,0.058,22020,1630166.0,0022000747
26,2020-21,"APR 01, 2021",WAS @ DET,L,34,4,10,0.4,1,4,0.25,2,5,0.4,0,10,10,1,1,0,1,3,11,-31,1,0022000179,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,33:58,73.0,71.2,115.4,116.9,-42.5,-45.7,0.056,1.0,7.1,0.0,0.27,0.132,7.1,0.45,0.451,0.167,0.173,101.18,101.75,84.79,73.0,0.08,22020,1630166.0,0022000179
27,2020-21,"MAR 30, 2021",WAS vs. CHA,L,32,1,10,0.1,1,7,0.143,0,0,0.0,0,8,8,0,0,1,1,6,3,-3,1,0022000718,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,32:09,98.0,102.9,104.2,104.3,-6.2,-1.3,0.0,0.0,0.0,0.0,0.242,0.113,9.1,0.15,0.15,0.145,0.14,105.57,103.01,85.84,68.0,-0.038,22020,1630166.0,0022000718
28,2020-21,"MAR 29, 2021",WAS vs. IND,W,32,4,6,0.667,2,3,0.667,2,2,1.0,0,8,8,1,0,0,0,2,12,11,1,0022000707,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,31:31,103.8,102.6,90.5,88.5,13.3,14.1,0.032,0.0,12.5,0.0,0.2,0.116,0.0,0.833,0.872,0.083,0.085,116.75,118.79,99.0,78.0,0.122,22020,1630166.0,0022000707
29,2020-21,"MAR 27, 2021",WAS vs. DET,W,27,2,6,0.333,1,3,0.333,0,0,0.0,1,4,5,2,2,0,0,0,5,2,1,0022000694,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,26:51,103.2,100.0,99.3,96.6,3.9,3.4,0.095,0.0,25.0,0.037,0.133,0.088,0.0,0.417,0.417,0.095,0.098,100.65,103.69,86.41,58.0,0.087,22020,1630166.0,0022000694
30,2020-21,"MAR 25, 2021",WAS @ NYK,L,11,0,4,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,1,0,4,0,-1,1,0022000679,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,10:55,79.0,83.3,82.3,84.0,-3.3,-0.7,0.0,0.0,0.0,0.0,0.125,0.074,0.0,0.0,0.0,0.154,0.152,111.77,107.73,89.77,24.0,-0.159,22020,1630166.0,0022000679
31,2020-21,"MAR 23, 2021",WAS @ NYK,L,22,5,7,0.714,2,4,0.5,2,3,0.667,1,3,4,0,0,0,0,6,14,-5,1,0022000662,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,21:47,122.4,122.2,137.6,136.4,-15.2,-14.1,0.0,0.0,0.0,0.05,0.167,0.105,0.0,0.857,0.841,0.16,0.171,97.53,98.06,81.71,45.0,0.091,22020,1630166.0,0022000662
32,2020-21,"MAR 21, 2021",WAS @ BKN,L,11,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-18,1,0022000647,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,11:07,55.9,55.6,157.7,140.0,-101.7,-84.4,0.0,0.0,0.0,0.0,0.1,0.043,0.0,0.0,0.0,0.087,0.091,76.93,82.03,68.36,18.0,-0.069,22020,1630166.0,0022000647
33,2020-21,"MAR 18, 2021",WAS vs. UTA,W,20,0,3,0.0,0,3,0.0,2,2,1.0,0,4,4,1,0,0,0,3,2,2,1,0022000166,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,20:24,118.3,118.4,116.0,112.0,2.3,6.4,0.048,0.0,20.0,0.0,0.182,0.089,0.0,0.0,0.258,0.075,0.077,114.53,116.51,97.09,49.0,0.01,22020,1630166.0,0022000166
34,2020-21,"MAR 17, 2021",WAS vs. SAC,L,18,3,5,0.6,0,2,0.0,0,0,0.0,0,2,2,1,0,1,1,2,6,-2,1,0022000619,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,17:44,87.9,83.7,92.2,90.5,-4.3,-6.8,0.1,1.0,14.3,0.0,0.087,0.043,14.3,0.6,0.6,0.128,0.136,111.17,115.02,95.85,43.0,0.069,22020,1630166.0,0022000619
35,2020-21,"MAR 15, 2021",WAS vs. MIL,L,31,5,9,0.556,1,4,0.25,0,0,0.0,0,6,6,2,0,0,1,3,11,8,1,0022000603,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,31:19,121.8,117.8,110.3,109.9,11.5,7.9,0.08,2.0,16.7,0.0,0.214,0.105,8.3,0.611,0.611,0.133,0.14,108.3,110.36,91.96,73.0,0.067,22020,1630166.0,0022000603
36,2020-21,"MAR 13, 2021",WAS vs. MIL,L,35,4,10,0.4,1,6,0.167,0,0,0.0,1,3,4,1,1,1,1,5,9,-11,1,0022000589,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,34:59,108.5,108.3,119.5,120.0,-11.0,-11.7,0.032,1.0,8.3,0.026,0.086,0.054,8.3,0.45,0.45,0.126,0.128,116.07,115.94,96.61,84.0,0.015,22020,1630166.0,0022000589
37,2020-21,"MAR 12, 2021",WAS vs. PHI,L,28,2,6,0.333,0,3,0.0,0,0,0.0,0,5,5,1,0,0,1,5,4,-6,1,0022000579,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,28:16,112.4,113.1,120.2,121.0,-7.8,-7.9,0.038,1.0,12.5,0.0,0.192,0.093,12.5,0.333,0.333,0.103,0.105,105.11,104.43,87.03,61.0,0.0,22020,1630166.0,0022000579
38,2020-21,"MAR 10, 2021",WAS @ MEM,L,24,5,8,0.625,3,5,0.6,0,0,0.0,0,6,6,1,1,0,0,2,13,2,1,0022000566,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,24:13,117.2,119.3,116.0,115.8,1.2,3.5,0.056,0.0,11.1,0.0,0.25,0.115,0.0,0.813,0.813,0.133,0.136,113.93,112.98,94.15,57.0,0.133,22020,1630166.0,0022000566
39,2020-21,"MAR 04, 2021",WAS vs. LAC,W,25,2,2,1.0,0,0,0.0,0,0,0.0,1,6,7,0,1,1,0,1,4,-13,1,0022000554,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,24:53,109.3,110.2,132.6,136.7,-23.3,-26.5,0.0,0.0,0.0,0.037,0.273,0.143,0.0,1.0,1.0,0.035,0.035,96.37,94.52,78.77,49.0,0.104,22020,1630166.0,0022000554
40,2020-21,"MAR 02, 2021",WAS vs. MEM,L,26,4,7,0.571,2,4,0.5,0,0,0.0,0,7,7,1,0,0,2,0,10,6,1,0022000536,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,25:41,109.8,114.3,101.5,100.0,8.3,14.3,0.048,0.5,10.0,0.0,0.212,0.127,20.0,0.714,0.714,0.155,0.152,107.87,106.53,88.77,56.0,0.119,22020,1630166.0,0022000536
41,2020-21,"FEB 28, 2021",WAS @ BOS,L,7,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,3,0,-1,1,0022000524,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,6:46,147.4,150.0,150.2,138.9,-2.8,11.1,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.059,0.058,116.76,120.59,100.49,16.0,-0.049,22020,1630166.0,0022000524
42,2020-21,"FEB 27, 2021",WAS vs. MIN,W,21,1,6,0.167,0,2,0.0,0,0,0.0,0,2,2,0,0,1,1,4,2,17,1,0022000517,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,20:49,118.7,120.0,85.5,84.3,33.1,35.7,0.0,0.0,0.0,0.0,0.071,0.038,14.3,0.167,0.167,0.119,0.122,116.26,116.45,97.04,50.0,-0.078,22020,1630166.0,0022000517
43,2020-21,"FEB 25, 2021",WAS @ DEN,W,20,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,2,-2,1,0022000502,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,19:31,126.8,122.5,126.2,127.5,0.6,-5.0,0.05,0.0,50.0,0.0,0.105,0.067,0.0,1.0,1.0,0.024,0.025,97.2,98.38,81.98,40.0,0.053,22020,1630166.0,0022000502
44,2020-21,"FEB 23, 2021",WAS @ LAC,L,12,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,2,3,0,-13,1,0022000488,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,11:31,79.4,76.9,135.7,126.9,-56.3,-50.0,0.0,0.0,0.0,0.0,0.111,0.038,50.0,0.0,0.0,0.138,0.142,103.2,108.36,90.3,26.0,-0.112,22020,1630166.0,0022000488
45,2020-21,"FEB 22, 2021",WAS @ LAL,W,23,3,5,0.6,2,3,0.667,0,0,0.0,0,9,9,2,1,0,1,1,8,-4,1,0022000479,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,22:32,97.3,98.0,106.9,108.0,-9.6,-10.0,0.125,2.0,25.0,0.0,0.346,0.18,12.5,0.8,0.8,0.098,0.106,108.53,107.55,89.63,51.0,0.19,22020,1630166.0,0022000479
46,2020-21,"FEB 20, 2021",WAS @ POR,W,11,1,1,1.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,2,2,-4,1,0022000464,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,11:06,83.1,83.3,85.5,96.0,-2.4,-12.7,0.0,0.0,0.0,0.0,0.15,0.094,0.0,1.0,1.0,0.037,0.037,112.78,105.95,88.29,24.0,0.109,22020,1630166.0,0022000464
47,2020-21,"FEB 17, 2021",WAS vs. DEN,W,21,1,3,0.333,1,3,0.333,0,0,0.0,0,7,7,2,1,0,1,2,3,14,1,0022000437,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,20:40,131.1,137.0,107.9,102.1,23.2,34.9,0.105,2.0,33.3,0.0,0.292,0.194,16.7,0.5,0.5,0.08,0.08,108.51,109.16,90.97,46.0,0.086,22020,1630166.0,0022000437
48,2020-21,"FEB 15, 2021",WAS vs. HOU,W,20,2,4,0.5,1,3,0.333,0,0,0.0,0,3,3,0,0,0,0,5,5,6,1,0022000421,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,19:39,137.7,134.8,119.7,119.1,18.0,15.6,0.0,0.0,0.0,0.0,0.188,0.091,0.0,0.625,0.625,0.078,0.08,112.13,113.55,94.62,46.0,0.01,22020,1630166.0,0022000421
49,2020-21,"FEB 14, 2021",WAS vs. BOS,W,28,2,9,0.222,1,5,0.2,3,4,0.75,1,9,10,0,0,0,2,4,8,-2,1,0022000560,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,27:59,83.8,83.6,90.0,85.5,-6.2,-1.9,0.0,0.0,0.0,0.029,0.237,0.137,15.4,0.278,0.372,0.183,0.189,102.75,105.49,87.91,61.0,0.065,22020,1630166.0,0022000560
50,2020-21,"FEB 12, 2021",WAS vs. NYK,L,22,3,9,0.333,1,5,0.2,1,2,0.5,2,4,6,0,0,0,2,3,8,-3,1,0022000396,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,21:30,90.5,89.4,99.6,93.8,-9.1,-4.4,0.0,0.0,0.0,0.069,0.143,0.105,16.7,0.389,0.405,0.222,0.225,102.21,106.05,88.37,47.0,0.015,22020,1630166.0,0022000396
51,2020-21,"FEB 10, 2021",WAS vs. TOR,L,27,3,7,0.429,2,6,0.333,1,2,0.5,1,6,7,3,0,0,2,3,9,-11,1,0022000382,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,26:40,101.0,100.0,120.9,116.7,-19.8,-16.7,0.158,1.5,23.1,0.032,0.182,0.109,15.4,0.571,0.571,0.152,0.155,104.69,107.1,89.25,59.0,0.071,22020,1630166.0,0022000382
52,2020-21,"FEB 08, 2021",WAS @ CHI,W,28,2,9,0.222,0,5,0.0,0,2,0.0,0,10,10,1,3,0,1,4,4,15,1,0022000368,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,,,,28:28,99.8,105.0,78.2,76.2,21.6,28.8,0.056,1.0,8.3,0.0,0.286,0.143,8.3,0.222,0.202,0.157,0.155,104.99,103.71,86.43,60.0,0.048,22020,1630166.0,0022000368
53,2020-21,"FEB 07, 2021",WAS @ CHA,L,15,2,5,0.4,0,2,0.0,0,0,0.0,0,2,2,2,0,0,1,1,4,-22,1,0022000215,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,15:25,82.1,85.7,157.2,157.6,-75.0,-71.9,0.222,2.0,25.0,0.0,0.125,0.053,12.5,0.4,0.4,0.146,0.148,108.35,105.86,88.22,35.0,0.038,22020,1630166.0,0022000215
54,2020-21,"FEB 05, 2021",WAS @ MIA,L,16,2,5,0.4,0,2,0.0,0,0,0.0,0,6,6,0,1,1,0,3,4,-11,1,0022000347,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,16:06,92.0,91.9,116.8,125.0,-24.8,-33.1,0.0,0.0,0.0,0.0,0.462,0.194,0.0,0.4,0.4,0.119,0.125,112.52,108.82,90.68,37.0,0.084,22020,1630166.0,0022000347
55,2020-21,"FEB 03, 2021",WAS @ MIA,W,33,5,9,0.556,3,5,0.6,0,0,0.0,0,4,4,0,1,0,2,2,13,-9,1,0022000331,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,32:55,100.9,101.5,112.4,111.9,-11.5,-10.4,0.0,0.0,0.0,0.0,0.143,0.061,18.2,0.722,0.722,0.143,0.146,96.33,96.24,80.2,65.0,0.08,22020,1630166.0,0022000331
56,2020-21,"FEB 02, 2021",WAS vs. POR,L,23,5,6,0.833,2,3,0.667,1,1,1.0,3,4,7,3,0,0,0,3,13,4,1,0022000559,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,23:04,141.1,140.0,132.5,131.1,8.6,8.9,0.15,0.0,33.3,0.158,0.154,0.156,0.0,1.0,1.009,0.122,0.123,92.77,93.64,78.03,45.0,0.142,22020,1630166.0,0022000559
57,2020-21,"JAN 31, 2021",WAS vs. BKN,W,16,1,4,0.25,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,2,2,-9,1,0022000310,1610612764,Washington,Wizards,WAS,wizards,1630166,Deni,Avdija,D. Avdija,deni-avdija,F,,,15:41,117.1,112.1,129.9,131.4,-12.9,-19.3,0.0,0.0,0.0,0.059,0.063,0.061,0.0,0.25,0.25,0.108,0.112,102.53,104.06,86.72,33.0,-0.02,22020,1630166.0,0022000310
